Summary,Issue Type,Priority,Assignee,Due Date,Epic Name,Description
[Corp] Register Delaware C-Corp (TamamHealth Holdings),Task,Highest,Teny,2026-05-14,Company Formation,"File Delaware C-Corp via Stripe Atlas, Clerky, or local US counsel. Holding entity for IP, equity, international staff. Pre-condition for any SAFE close. Owner: Teny."
[Corp] Register South Sudan Ltd. (operating entity),Task,High,Teny,2026-05-31,Company Formation,"Engage Juba lawyer to register the local operating company. Required for MoH contracts, local bank account, local payroll. Allow 3-4 weeks lead time."
[Corp] Founder vesting agreements (4yr / 1yr cliff),Task,Highest,Teny,2026-05-14,Company Formation,"Sign 4-year vesting with 1-year cliff for all 5 (or 6) founders. Templates available via Stripe Atlas / Clerky. Allocation per April playbook: founders 60-70%, ESOP 12-15%, advisor pool 1-2%, investor reserve 15-25%."
[Corp] Define and reserve ESOP pool (12-15%),Task,High,Teny,2026-05-21,Company Formation,Set aside 12-15% Employee Stock Option Pool at incorporation so first hires (and the 6th team member) can receive equity without a renegotiation later.
[Corp] Operating agreement + IP assignment for all founders,Task,High,Toye,2026-05-21,Company Formation,"Standard IP assignment: every line of code, design, and clinical content created to date is assigned to the C-Corp. Without this, fundraising due diligence stalls."
[Ops] Stand up Notion + Slack + role definitions,Task,High,Toye,2026-05-14,Company Formation,"Notion workspace with: this update doc, role charters, weekly review template, decision log. Slack channels: #general, #eng, #clinical, #ops, #fundraising. Master doc copied in as source of truth."
[Ops] Open business banking + accounting (Xero or QBO),Task,High,Toye,2026-05-21,Company Formation,Mercury or Brex for the C-Corp. Local bank for SS Ltd. Multi-currency (USD + SSP). Bookkeeper on retainer.
[Hiring] Identify and offer 6th team member,Task,High,Teny,2026-05-31,Company Formation,Profile recommendation: senior backend or full-stack engineer to share the hardening load with Valens. Alternative profile: Juba-based implementation lead if Ekow is not local. Onboarded by June 1 ideally.
[Fundraising] Refresh seed deck with current technical state,Task,Highest,Teny,2026-05-14,Fundraising,"10-12 slides. Lead with: ~104k LOC platform, FHIR R4, offline-first, 8 role dashboards, AI diagnosis, RBAC. Honest about: 20 stubbed APIs, mobile scaffold-only, no CI/CD yet — paired with the May 31 cutover plan. Title slide = company; Page 2 = single-line 'why now' for South Sudan."
[Fundraising] Build investor target list (50+ named),Task,High,Teny,2026-05-14,Fundraising,"Tiers: African health-tech focused (Future Africa, Atlantica, Novastar, AAIC, Catalyst Fund, AHL), impact (Mercy Corps Ventures, IFC TechEmerge, GSMA), generalists with health interest. Track in HubSpot Free or Notion. Warm intro path noted for each."
[Fundraising] F&F SAFE round close ($50-150k),Task,Highest,Teny,2026-05-21,Fundraising,YC post-money SAFE template. Cap negotiable; valuation cap suggestion $5-8M post-money. Funds runway through pilot launch. Brief existing network week of May 7.
[Fundraising] Open pre-seed outreach formally,Task,High,Teny,2026-05-28,Fundraising,Target: $500k-$1.5M. Begin warm intros to top 10 funds. First meetings target June. Pilot MOU in hand by mid-June is the milestone that closes.
[Fundraising] Submit Grand Challenges Africa application,Task,High,Teny,2026-05-31,Fundraising,Non-dilutive. Frame around: maternal/child health module + DHIS2 integration + offline reality. Co-write with Chinonye on clinical impact section.
[Fundraising] Submit USAID DIV / GIF application,Task,High,Teny,2026-06-07,Fundraising,USAID Development Innovation Ventures + Global Innovation Fund. Stage 1 = $200k. Pair with measurable pilot KPIs once anchor site is signed.
"[Fundraising] Recruit 3 advisors (MoH physician, EHR architect, African investor)",Task,High,Teny,2026-05-31,Fundraising,"0.25-0.5% each, 24-month vest, no cliff (per FAST template). Personal outreach to 15 candidates targeting 30% conversion. Exec summary one-pager pre-built."
[Fundraising] Draft advisor agreements (FAST template),Task,Medium,Toye,2026-05-21,Fundraising,"Founder Institute FAST agreement, customized for vesting schedule and confidentiality. Template lives in Notion."
[Compliance] Draft DPIA (Data Protection Impact Assessment),Task,Highest,Toye,2026-05-21,Compliance & Legal,"Use ICO (UK) DPIA template adapted for South Sudan. Cover: PHI inventory, lawful basis, retention, sub-processors (AWS, Sentry), cross-border transfer (af-south-1), patient consent flow. Required by any serious donor."
[Compliance] Draft privacy policy + Terms of Service,Task,Highest,Toye,2026-05-21,Compliance & Legal,"Patient-facing privacy policy in English, Arabic, Juba Arabic. Clinician ToS separate. Both reference the DPIA."
[Compliance] Document data residency decision (af-south-1),Task,High,Valens,2026-05-14,Compliance & Legal,"One-page architecture note: where PHI lives (AWS af-south-1 / Cape Town), how backups are encrypted, what crosses borders, what would change if MoH demands in-country hosting. Required artifact for MoH and donors."
"[Compliance] Patient consent forms (English, Arabic, Juba Arabic)",Task,High,Chinonye,2026-05-31,Compliance & Legal,"Written consent for data collection at clinical onboarding. Plain language. Translated by native speakers, not Google Translate. Add Dinka and Nuer in v2 once anchor site demographics are known."
[Compliance] Clinical safety case (Class I medical software),Task,High,Chinonye,2026-05-31,Compliance & Legal,"Document classification rationale, hazard log, clinical decision support disclaimers (especially for AI diagnosis), failure modes. EHRs without binding decision support are typically Class I; document the safety case before pilot."
[Compliance] Engage health-data lawyer (fractional),Task,High,Toye,2026-05-14,Compliance & Legal,"Bowmans, ALN, or East-Africa health-law boutique. Retainer model. First task: review DPIA + privacy policy. Second: position for export to Kenya (DPA 2019), Rwanda, South Africa POPIA."
[Compliance] Incident response runbook (24h breach notification),Task,High,Valens,2026-05-28,Compliance & Legal,"Written runbook: detection, triage, containment, MoH notification within 24h, patient notification, post-mortem template. Test once before launch."
[Clinical] Validate all clinical workflows in MVP,Task,Highest,Chinonye,2026-05-21,Clinical Readiness,"Walk every existing workflow (consultation, lab orders, pharmacy, antenatal/WHO 8-contact, EPI, CRVS, surveillance) end-to-end in staging with realistic patient scenarios. Sign off or file specific bugs."
[Clinical] Sign off on AI diagnosis logic for 15 diseases,Task,High,Chinonye,2026-05-28,Clinical Readiness,Review symptom-to-diagnosis mapping for all 15. Document decision support disclaimers (this is not a diagnostic device; clinician judgment required). Required for safety case.
[Clinical] Curate ICD-11 expansion beyond 70 codes,Task,Medium,Chinonye,2026-06-07,Clinical Readiness,"Identify the next ~50 codes most relevant to South Sudan disease burden (malaria, TB, malnutrition, maternal/perinatal, NCDs). Working list reviewable by MoH if needed."
[Clinical] SNOMED CT integration plan,Task,Medium,Chinonye,2026-06-14,Clinical Readiness,Apply for IHTSDO low-income license (free for South Sudan). Map ICD-11 codes to SNOMED CT terms. Implementation in platform after May 31 cutover.
[Clinical] Clinical training curriculum draft,Task,High,Chinonye,2026-05-31,Clinical Readiness,"2-day curriculum for clinicians (nurses, clinical officers, doctors). Mix didactic + role-play + live system exercises. Co-design with Ekow on logistics."
[Clinical] DHIS2 export field mapping with MoH,Task,High,Chinonye,2026-06-07,Clinical Readiness,"Confirm with MoH which HMIS reports they expect, frequency, format. Map TamamHealth fields to DHIS2 dataset elements. Test export with sample data."
[Security] Remove hardcoded demo creds from seed data,Task,Highest,Valens,2026-05-13,Infra & Security,"dr.wani / Dr.Wani@JTH2026 cannot ship. Even behind NEXT_PUBLIC_DEMO_MODE, an env flip exposes them. Replace with randomly generated creds printed once at seed time."
[Infra] Set up GitHub Actions CI/CD pipeline,Task,Highest,Valens,2026-05-14,Infra & Security,"Workflows for: lint, type-check, run 6 core test suites, build all components, deploy to staging on merge to main, manual approval to prod. Required to stop manual deploys before any pilot."
[BE] Auto-apply Postgres DB migrations on deploy,Task,Highest,Valens,2026-05-14,Infra & Security,Existing 364 LOC schema never auto-applied. Use Prisma Migrate / Knex / node-pg-migrate. Migration pipeline part of CI/CD. Idempotent.
[BE] CSRF token enforcement on all mutations,Task,Highest,Valens,2026-05-17,Infra & Security,"SameSite cookies alone are insufficient. Add per-session CSRF token, validate on every POST/PUT/PATCH/DELETE. Document the threat model."
[BE] Enforce token blacklist on logout / mutating routes,Task,High,Valens,2026-05-17,Infra & Security,token-blacklist.ts exists but is not enforced. Wire into auth middleware so revoked JWTs are rejected. Required for clinical-context logout (shared devices).
[Infra] Move rate-limiting to Redis,Task,Highest,Valens,2026-05-21,Infra & Security,In-process limiting breaks under horizontal scaling. Redis (Upstash for ease) with sliding-window or token-bucket algorithm. Code comment already flags this.
[BE] Wire audit_log writes to all mutations,Task,Highest,Valens,2026-05-21,Infra & Security,"audit_log table exists but no rows are ever written. Add middleware/decorator pattern: every mutation logs (user_id, action, entity_type, entity_id, timestamp, source_ip). Immutable. Required for HIPAA-equivalent posture and MoH audit."
[Infra] Secrets management (Doppler or 1Password Secrets),Task,High,Valens,2026-05-24,Infra & Security,"Stop putting JWT secret, DB password, API keys in .env files. Doppler or 1Password Secrets Automation. Rotation policy documented (90 days for non-PHI keys, 30 days for PHI-adjacent)."
[Infra] Offsite encrypted backups,Task,High,Valens,2026-05-28,Infra & Security,"Current backup writes to same host volume — single point of failure. Daily encrypted snapshots to S3 (af-south-1, separate account) or Backblaze B2. Quarterly restore drill documented."
[Security] Commission independent pen test,Task,High,Valens,2026-05-14,Infra & Security,"Budget $5-10k. Cobalt, HackerOne, or local boutique. Scope: platform API, auth, CouchDB exposure. Commission Week 2 so report lands by May 28 with 3 days of remediation buffer."
[Infra] Monitoring & alerting (Sentry + uptime),Task,High,Valens,2026-05-28,Infra & Security,"Sentry for error tracking (already in stack). Add Better Stack / UptimeRobot for endpoint uptime. PagerDuty or Slack alerts for: 5xx rate >1%, latency p95 >2s, auth failures >50/min, DB connection failures."
[Infra] Production deployment to AWS af-south-1,Task,High,Valens,2026-05-31,Infra & Security,"Cape Town region. Cutover from current setup. Caddy auto-TLS, healthchecks, blue-green or canary on platform. Document the rollback path."
[BE] Implement billing API,Task,High,Valens,2026-05-24,API Completion,"Insurance/cash mix typical for SS clinics. Patient-level invoicing, line items map to encounters. FHIR Account/ChargeItem optional v2."
[BE] Implement eligibility API,Task,High,Valens,2026-05-24,API Completion,"Patient insurance/scheme lookup. Even if just MoH-vs-cash for pilot, design for future expansion."
[BE] Implement triage API,Task,High,Valens,2026-05-24,API Completion,ESI (Emergency Severity Index) or similar. Tied to encounter creation. CMO sign-off on triage rules.
[BE] Implement blood-bank API,Task,High,Valens,2026-05-21,API Completion,"Inventory by blood type, expiry tracking, issue/return events. Integrate with consultation when transfusion ordered."
[BE] Implement supply-chain API,Task,High,Valens,2026-05-21,API Completion,"Stock levels for essential drugs (WHO EML), reorder points, consumption analytics. Most commonly used after consultations."
[BE] Implement emergency-plans API,Task,Medium,Valens,2026-05-28,API Completion,"Per-patient emergency contacts, allergies, do-not-do orders. Read-heavy, low write."
[BE] Implement staff-schedules API,Task,Medium,Valens,2026-05-28,API Completion,Shift roster by department. Could defer to June if API completion time-boxed.
[BE] Implement transfers API,Task,Medium,Valens,2026-05-28,API Completion,Inter-ward and inter-facility transfers. Tied to FHIR Encounter with location chain.
[BE] Implement wards API,Task,Medium,Valens,2026-05-28,API Completion,Ward and bed inventory. CRUD + occupancy queries.
[BE] Implement telehealth API,Task,Medium,Valens,2026-06-07,API Completion,Defer to June. Not blocker for single-facility pilot. Daily.co or Twilio Video integration.
[BE] PostgreSQL UPSERT / conflict resolution,Task,High,Valens,2026-05-28,API Completion,Analytics DB has schema but no UPSERT logic. Needed once mobile app starts double-writing offline batches. Document the conflict-resolution rule per table (last-write-wins vs merge).
"[Mobile] Auth integration (login, JWT, refresh)",Task,High,Valens,2026-05-28,Mobile Wiring,Replace mock auth screen with real /auth/login + /auth/refresh. Secure storage via Expo SecureStore. Biometric unlock optional v2.
[Mobile] Patient profile API integration,Task,High,Valens,2026-06-07,Mobile Wiring,Replace hardcoded profile mock with real GET /patients/me. Edit flow with PATCH and optimistic update.
[Mobile] Appointments API integration,Task,Medium,Valens,2026-06-14,Mobile Wiring,"List, view, request appointment. Push notification (Expo Push) on confirmation."
[Mobile] Medical records view API integration,Task,Medium,Valens,2026-06-14,Mobile Wiring,"Read-only patient view of their own encounters, labs, prescriptions. PHI handling care: never cached unencrypted."
[Mobile] Offline-first sync (PouchDB on device),Task,High,Valens,2026-06-21,Mobile Wiring,Mirror the platform's PouchDB <-> CouchDB pattern on the patient app. Conflict resolution: server-wins for clinical data; client-wins for patient-entered notes.
[Mobile] Build and deploy beta to TestFlight + Play internal track,Task,Medium,Valens,2026-06-28,Mobile Wiring,Closed beta with pilot site clinicians and ~10 patient testers. EAS Build via Expo. Internal distribution only until June 30.
[Ops] Shortlist 3 anchor pilot sites,Task,Highest,Ekow,2026-05-14,Pilot Operations,"Ranked. Mix: 1 NGO-run clinic (IRC/MSF/IMC/PIH), 1 mission/faith-based hospital, 1 private clinic in Juba. Each with named contact, decision-maker, and known budget reality."
[Ops] Draft pilot MOU template,Task,High,Ekow,2026-05-21,Pilot Operations,"Standard MOU: scope, duration (6 months), data ownership (TamamHealth retains aggregated/de-identified rights), pricing (free/subsidized for first 5 sites), exit clause, joint case study commitment."
[Ops] Negotiate and sign anchor pilot MOU,Task,High,Ekow,2026-06-14,Pilot Operations,Convert top shortlist site to signed MOU. Co-led with Teny on relationship side. This is the milestone that unlocks pre-seed close.
[Ops] Devices procurement plan + order,Task,High,Ekow,2026-05-21,Pilot Operations,"Plan finalized May 21; order placed June 7 latest (4-week customs window for South Sudan). Tablets (Samsung Galaxy Tab A series, 8-10""), SIMs (MTN South Sudan), data plans, charging infra."
[Ops] Setup support channels (WhatsApp Business + phone),Task,High,Ekow,2026-05-31,Pilot Operations,"WhatsApp Business account, phone line, ticket triage in Crisp or Intercom. Initial coverage hours, escalation path to Valens for critical."
[Ops] Define SLA for pilot site,Task,Medium,Ekow,2026-05-31,Pilot Operations,"Mean time to resolution <24h for non-critical, <4h for clinical-impact. Uptime 99% target. Document so MoH can see it later."
[Ops] Field training schedule + travel plan,Task,Medium,Ekow,2026-06-07,Pilot Operations,Co-built with Chinonye's curriculum. Travel logistics for trainers. On-site presence for first 2 weeks of pilot non-negotiable.
[Partnerships] Book first MoH meeting,Task,Highest,Teny,2026-05-14,Partnerships & MoH,"Even an introductory courtesy meeting counts. Position: not asking for approval today, building relationship. MoH engagement is the longest lead time — start week 1."
[Partnerships] WHO South Sudan introduction meeting,Task,High,Teny,2026-05-28,Partnerships & MoH,WHO country office. Frame around DHIS2 integration and HMIS reporting. They can route to MoH if direct route is slow.
"[Partnerships] NGO outreach (IRC, MSF, IMC, PIH)",Task,High,Teny,2026-05-31,Partnerships & MoH,Warm intros where possible. Pilot site shortlist already targets at least one NGO-run clinic. NGOs decide locally and have budget.
[Partnerships] MoH letter of acknowledgement (target),Task,Medium,Teny,2026-06-30,Partnerships & MoH,"Goal: by end of June, a letter from MoH acknowledging the TamamHealth pilot. Materially de-risks fundraising even short of formal endorsement."
